Author (Last Name),Author (First Name),Predicted Nationality,Country Probability,Actual Nationality,Identity,Title(s),Publisher,Publication Year,Primary Language,LC Subclass,Recorded Uses - Item,Recorded Uses - Title,Local Interest,Allocated for Retention,HathiTrust Public Domain,HathiTrust In Copyright,HathiTrust URL,OPAC URL,WorldCat URL,OCLC Work ID,WorldCat OCLC Number,Bib Record Number,Bib Control Number,Item Control Number,Item Type Code,Item Status Code
Abdel-Fattah,Randa,Sudan,0.2285138324,Australia,,The lines we cross,"New York : Scholastic Press, 2017.",2017,eng,PZ ,5,5,No,No,No,No,,Catalog Record,WorldCat Record,4211820711:eng,960833666,ocn960833666,ocn960833666,30527024006187,Book,ON_LOAN
Aguilar-San Juan,Kariʹn,unknown,1,unknown,,The People make the peace : lessons from the Vietnam antiwar movement,"Charlottesville, VA : Just World Books, c2015.",2015,eng,DS ,10,10,Yes,Yes,No,No,,Catalog Record,WorldCat Record,2860530905:eng,921889081,ocn921889081,ocn921889081,30527024267102,Book,ON_LOAN
Alko,Selina,Ghana,0.16940433,Canada,,The case for Loving : the fight for interracial marriage,"New York : Arthur A. Levine Books, an imprint of Scholastic Inc., [2015]",2015,eng,HQ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,2883322958:eng,875055783,ocn875055783,ocn875055783,30527023984483,Book,AVAILABLE
Banaji,Mahzarin R.,unknown,1,USA,,Blindspot : hidden biases of good people,"New York : Bantam Books, 2016.",2016,eng,BF ,2,2,No,No,No,No,,Catalog Record,WorldCat Record,1167331282:eng,956383687,ocn956383687,ocn956383687,30527024670727,Book,AVAILABLE
Barnet,Sylvan,France,1,USA,,A short guide to writing about art,"Upper Saddle River : Pearson, 2015.",2015,eng,N  ,4,4,No,No,No,No,,Catalog Record,WorldCat Record,1004639:eng,861356558,ocn861356558,ocn861356558,30527024122083,Book,AVAILABLE
Beaton,Kate,Saint Vincent and the Grenadines,0.83957201,Canada,,The princess and the pony,"New York, NY : Arthur A. Levine Books, an imprint of Scholastic Inc., 2015.",2015,eng,PZ ,2,2,No,No,No,No,,Catalog Record,WorldCat Record,2575844457:eng,891324300,ocn891324300,ocn891324300,30527024066579,Book,AVAILABLE
Blaschke,Estelle,,0.17730597,unknown,,Banking on Images : the Bettmann Archive and Corbis,"Leipzig : Spector Books, [2016]",2016,eng,TR ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,2247583500:eng,953999370,ocn953999370,ocn953999370,30527024144574,Book,AVAILABLE
Brown,Rita Mae.,unknown,1,USA,,Ru,"New York : Bantam Books, 2015.",2015,eng,PS ,4,4,No,No,No,No,,Catalog Record,WorldCat Record,1296841:eng,918899947,ocn918899947,ocn918899947,30527024301786,Book,ON_LOAN
Burroway,Janet,Ghana,0.15073783,American,,Imaginative writing : the elements of craft,"Boston : Pearson, 2015.",2015,eng,PE ,37,37,No,No,No,No,,Catalog Record,WorldCat Record,1004204:eng,918898794,ocn918898794,ocn918898794,30527024017630,Book,AVAILABLE
Callender,Kheryn,unknown,1,"Saint Thomas, US Virgin Islands",,Hurricane child,"New York : Scholastic Press, 2018.",2018,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,4458934111:eng,1000585897,on1000585897,on1000585897,30527024681492,Book,AVAILABLE
Carter,Christine,Philippines,0.05608698,USA,,The sweet spot : how to find your groove at home and work,"New York : Ballantine Books, [2015]",2015,eng,BF ,5,5,No,No,No,No,,Catalog Record,WorldCat Record,2276660258:eng,891718656,ocn891718656,ocn891718656,30527024126589,Book,AVAILABLE
Cervantes,Angela,Columbia,0.05251067,USA,,Ga,"New York : Scholastic Inc., 2015.",2015,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,1405771392:eng,859613700,ocn859613700,ocn859613700,30527024212306,Book,AVAILABLE
Chaon,Dan,Romania,0.09901719,USA,,Ill will : a novel,"New York : Ballantine Books, 2018.",2018,eng,PS ,3,3,No,No,No,No,,Catalog Record,WorldCat Record,3174205405:eng,985917325,ocn985917325,ocn985917325,30527024291839,Book,AVAILABLE
Cho,Zen,Singapore,0.21501356,Malaysia,,Sorcerer to the crown,"New York : Ace Books, 2016.",2016,eng,PR ,2,2,No,No,No,No,,Catalog Record,WorldCat Record,4813784679:eng,926062135,ocn926062135,ocn926062135,30527024003812,Book,AVAILABLE
Collins,Manda,Madagascar,0.69064362,USA,,One for the rogue,"New York : St. Martin's Paperbacks, 2018.",2018,eng,PS ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,4464269939:eng,1041190735,on1041190735,on1041190735,30527024301265,Book,AVAILABLE
Corrigan,Timothy,USA,0.24764014,USA,,A short guide to writing about film,"Boston : Pearson, [2015]",2015,eng,PN ,5,5,No,No,No,No,,Catalog Record,WorldCat Record,678602:eng,879119504,ocn879119504,ocn879119504,30527024142818,Book,AVAILABLE
Curtis,Christopher Paul,unknown,1,USA,,The journey of little Charlie,"New York : Scholastic Press, 2018.",2018,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,4196846072:eng,985447455,ocn985447455,ocn985447455,30527024309920,Book,AVAILABLE
Curtis,Scarlett,Chile,0.38837453,United Kingdom,,Feminists don't wear pink and other lies : amazing women on what the f-word means to them,"New York : Ballantine Books, [2018]",2018,eng,HQ ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,5463498563:eng,1037289276,on1037289276,on1037289276,30527024317220,Book,ON_LOAN
Danticat,Edwidge,unknown,1,Haiti,Haitian-American,Untwine : a novel,"New York : Scholastic Press, 2015.",2015,eng,PZ ,2,2,No,No,No,No,,Catalog Record,WorldCat Record,2410785085:eng,899265635,ocn899265635,ocn899265635,30527024210615,Book,AVAILABLE
Deedy,Carmen Agra,unknown,1,Cuba,,The rooster who would not be quiet!,"New York : Scholastic Press, 2017.",2017,eng,PZ ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,2958631627:eng,945170036,ocn945170036,ocn945170036,30527024486835,Book,AVAILABLE
Doudova,Helena,Czechia,0.10795756,unknown,,"Image factories : infographics 1920-1945 : Fritz Kahn, Otto Neurath et al.","Leipzig : Spector Books, [2017]",2017,eng,NC ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,4897320634:eng,1026415617,on1026415617,on1026415617,30527024301117,Book,AVAILABLE
Downham,Jenny,Sweden,0.06982947,United Kingdom,,Unbecoming,"New York : David Fickling Books/Scholastic Inc., 2016.",2016,eng,PZ ,2,2,No,No,No,No,,Catalog Record,WorldCat Record,2562922561:eng,914596929,ocn914596929,ocn914596929,30527024003721,Book,AVAILABLE
Gino,Alex,Czechia,0.0516903,USA,,George,"New York : Scholastic Press, 2015.",2015,eng,PZ ,7,7,No,No,No,No,,Catalog Record,WorldCat Record,2607422889:eng,900624128,ocn900624128,ocn900624128,30527024125060,Book,AVAILABLE
Graduate Management Admission Council,,unknown,1,unknown,,The official guide for GMAT® review 2017,"Hoboken, N.J. : John Wiley & Sons, Inc., [2016]",2016,eng,HF ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,3863513633:eng,936410957,ocn936410957,ocn936410957,30527024073724,Book,AVAILABLE
Gratz,Alan,Ireland,0.08731294,USA,,Refugee,"New York : Scholastic Press, 2017.",2017,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,4071224765:eng,973803253,ocn973803253,ocn973803253,30527024481331,Book,AVAILABLE
Grimes,Nikki,United Kingdom,0.18908649,USA,,"Chasing freedom : the life journeys of Harriet Tubman and Susan B. Anthony, inspired","New York : Orchard Books, an imprint of Scholastic Inc., 2015.",2015,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,1900445691:eng,880929553,ocn880929553,ocn880929553,30527024066660,Book,AVAILABLE
Guillory,Jasmine,Singapore,0.16575397,USA,,The wedding date,"New York : Jove, 2018.",2018,eng,PS ,4,4,No,No,No,No,,Catalog Record,WorldCat Record,4493945419:eng,988057319,ocn988057319,ocn988057319,30527024296531,Book,AVAILABLE
Hademenos,George J.,unknown,1,USA,,McGraw-Hill Education : 3 MCAT practice tests,"New York : McGraw-Hill Education, [2017]",2017,eng,R  ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,9104287552:eng,948547137,ocn948547137,ocn948547137,30527024073732,Book,AVAILABLE
Ham,Anthony,USA,0.08359683,Australia,,Scandinavia,"Carlton, Victoria ; Oakland, CA : Lonely Planet Global Limited, [2018]",2018,eng,DL ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,4497255332:eng,1038415013,on1038415013,on1038415013,30527024147395,Book,AVAILABLE
Hawking,Stephen,New Zealand,0.0935789,Great Britain,,Brief answers to the big questions,"New York, N.Y. : Bantam Books, an imprint of Random House, [2018]",2018,eng,Q  ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,5164170559:eng,1055766066,on1055766066,on1055766066,30527024308674,Book,ON_LOAN
Hopfe,Lewis M.,unknown,1,USA,,Religions of the world,"Boston : Pearson, 2014.",2016,eng,BL ,4,4,No,No,No,No,,Catalog Record,WorldCat Record,4925074979:eng,890462655,ocn890462655,ocn890462655,30527024209849,Book,AVAILABLE
Hua,Vanessa,French Guiana,0.04165901,USA,Asian-American,A river of stars : a novel,"New York : Ballantine Books, [2018]",2018,eng,PS ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,5019516977:eng,1012618133,on1012618133,on1012618133,30527024488153,Book,AVAILABLE
Jackson,Lesley,Great Britain,0.31682595,Great Britain,,Sekhmet & Bastet : the feline powers of Egypt,"London : Avalonia, 2018.",2018,eng,BL ,3,3,No,No,No,No,,Catalog Record,WorldCat Record,5476646286:eng,1031154064,on1031154064,on1031154064,30527024317238,Book,ON_LOAN
Jennings,Holly,Great Britain,0.25869641,,,Arena,"New York : Ace Books, 2016.",2016,eng,PR ,3,3,No,No,No,No,,Catalog Record,WorldCat Record,5092538726:eng,913924868,ocn913924868,ocn913924868,30527024202331,Book,AVAILABLE
Kamal,Soniah,unknown,1,Pakistan,,Unmarriageable : a novel,"New York : Ballantine Books, 2019.",2019,eng,PS ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,5033926931:eng,1032354337,on1032354337,on1032354337,30527024489649,Book,AVAILABLE
Kanno,Aya,Japan,0.2042163,Japan,,Requiem of the rose king. volume 1,"San Francisco, CA : Viz Media LLC, [2015]",2015,eng,PN ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,5622972168:eng,881437340,ocn881437340,ocn881437340,30527024654705,Book,AVAILABLE
Kanno,Aya,Japan,0.2042163,Japan,,Requiem of the rose king. 5,"San Francisco, CA : Viz Media, [2016]",2016,eng,PN ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,5624235383:eng,944933903,ocn944933903,ocn944933903,30527024654747,Book,AVAILABLE
Kanno,Aya,Japan,0.2042163,Japan,,Requiem of the rose king. Volume 4,"San Francisco, CA : Viz Media LLC, [2016]",2016,eng,PN ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,5591110447:eng,921865015,ocn921865015,ocn921865015,30527024654739,Book,AVAILABLE
Kanno,Aya,Japan,0.2042163,Japan,,Requiem of the Rose King. Volume 3,"San Francisco, CA : Viz Media, LLC, 2016.",2016,eng,PN ,2,2,No,No,No,No,,Catalog Record,WorldCat Record,5534041747:eng,904812832,ocn904812832,ocn904812832,30527024654721,Book,AVAILABLE
Karau,Holden,Spain,0.53165282,USA,Canada,Learning Spark,"Beijing ; Sebastopol : O'Reilly, [2015]",2015,eng,QA ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,1436796479:eng,844872440,ocn844872440,ocn844872440,30527023984681,Book,AVAILABLE
Khan,Sabina,Azerbaijan,0.25364879,Canada,,The love & lies of Rukhsana Ali,"New York : Scholastic Press, [2019]",2019,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,5086096677:eng,1034616082,on1034616082,on1034616082,30527024353332,Book,AVAILABLE
King,Laurie R.,unknown,1,USA,,The murder of Mary Russell : a novel of suspense featuring Mary Russell and Sherlock Holmes,"New York : Bantam Books, [2016]",2016,eng,PS ,3,3,No,No,No,No,,Catalog Record,WorldCat Record,2746596825:eng,904967996,ocn904967996,ocn904967996,30527024202240,Book,AVAILABLE
Kölling,Michael,unknown,1,Germany,,Introduction to programming with greenfoot object-oriented programming in java with games and simulations,"Boston : Pearson, [2016]",2016,eng,QA ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,793205597:eng,900159216,ocn900159216,ocn900159216,30527024306868,Book,AVAILABLE
Konigsberg,Bill,Greece,0.15288642,USA,,Openly straight,"New York, NY : Scholastic Inc., [2015]",2015,eng,PZ ,8,8,No,No,No,No,,Catalog Record,WorldCat Record,1168599709:eng,910606542,ocn910606542,ocn910606542,30527024212637,Book,AVAILABLE
Koontz,Dean R.,unknown,1,USA,,The silent corner : a novel of suspense,"New York : Bantam Books, [2017]",2017,eng,PS ,2,2,No,No,No,No,,Catalog Record,WorldCat Record,3870384834:eng,958411543,ocn958411543,ocn958411543,30527024006526,Book,AVAILABLE
Kostova,Elizabeth,Mexico,0.05941525,USA,Slovenia,The shadow land : a novel,"New York : Ballantine Books, [2017]",2017,eng,PS ,5,5,No,No,No,No,,Catalog Record,WorldCat Record,3914594783:eng,955007467,ocn955007467,ocn955007467,30527024208536,Book,AVAILABLE
Krentz,Jayne Ann,unknown,1,USA,,When all the girls have gone,"New York, NY : Jove Books 2017.",2017,eng,PS ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,3470053080:eng,1005361688,on1005361688,on1005361688,30527024680247,Book,AVAILABLE
Krosoczka,Jarrett,Canada,0.53199886,USA,,"Hey, kiddo","New York, NY : Graphix, an imprint of Scholastic, [2018]",2018,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,5523344530:eng,1049152928,on1049152928,on1049152928,30527024486694,Book,AVAILABLE
Leventalʹ,V. (Vadim),unknown,1,Russia ,,Masha Regina,"London : Oneworld Book, 2016.",2016,eng,PG ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,1436284006:eng,949269633,ocn949269633,ocn949269633,30527024078566,Book,AVAILABLE
Manzano,Sonia,Swaziland,0.13646338,USA,Latinx,Becoming Maria : love and chaos in the South Bronx,"New York : Scholastic Press, 2015.",2015,eng,PN ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,2272918484:eng,900623934,ocn900623934,ocn900623934,30527024211217,Book,AVAILABLE
Martin,Alexa,Romania,0.15776829,USA,Black,Intercepted,"New York : Jove, 2018.",2018,eng,PS ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,5445934308:eng,1028608089,on1028608089,on1028608089,30527024308641,Book,ON_LOAN
McLain,Paula,Portugal,0.1392667,USA,,Circling the sun : a novel,"New York : Ballantine Books, [2015]",2015,eng,PS ,7,7,No,No,No,No,,Catalog Record,WorldCat Record,2270785738:eng,905600263,ocn905600263,ocn905600263,30527024120368,Book,AVAILABLE
McLain,Paula,Portugal,0.1392667,USA,,Love and ruin : a novel,"New York : Ballantine Books, [2018]",2018,eng,PS ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,4567301074:eng,1028604386,on1028604386,on1028604386,30527024184620,Book,AVAILABLE
Mekas,Jonas,Sweden,0.20858752,Lithuania,,Jonas Mekas - Conversations with film-makers,"Leipzig : Spector Books, [2018]",2018,eng,PN ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,3812230992:eng,934809054,ocn934809054,ocn934809054,30527024302834,Book,AVAILABLE
Mitchell,Saundra,US,1,USA,,All out,"Toronto, Ontario, Canada : Harlequin Teen, [2018]",2018,eng,PZ ,4,4,No,No,No,No,,Catalog Record,WorldCat Record,4741515527:eng,987279359,ocn987279359,ocn987279359,30527024485506,Book,AVAILABLE
O'Grady,William,US,0.10345416,USA,,Contemporary linguistic analysis : an introduction,"Toronto : Pearson Canada, ©2016.",2016,eng,P  ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,3810827320:eng,976501171,ocn976501171,ocn976501171,30527024016244,Book,AVAILABLE
Older,Daniel José,unknown,1,USA,,Shadowshaper,"New York, NY : Arthur A. Levine Books, an imprint of Scholastic Inc., 2015.",2015,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,2236046701:eng,891427666,ocn891427666,ocn891427666,30527024061760,Book,AVAILABLE
Pekhov,Alekseĭ,unknown,1,Russia,,Chasers of the wind,"New York : Tor Fantasy, 2015.",2015,eng,PG ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,1393827290:eng,881656089,ocn881656089,ocn881656089,30527024065977,Book,AVAILABLE
Priest,Cherie,AU,0.27184198,USA,,Brimstone,"New York : Ace, [2017]",2017,eng,PS ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,3004220261:eng,949639965,ocn949639965,ocn949639965,30527024481067,Book,AVAILABLE
Remley,Theodore Phant,unknown,1,USA,,"Ethical, legal, and professional issues in counseling","Boston : Pearson, [2016]",2016,eng,BF ,6,6,No,No,No,No,,Catalog Record,WorldCat Record,984519:eng,902727151,ocn902727151,ocn902727151,30527024063824,Book,ON_LOAN
Rosenberg,Madelyn,Philippines,0.91742878,USA,,This is just a test : a novel,"New York : Scholastic Press, 2017.",2017,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,4211899192:eng,958962861,ocn958962861,ocn958962861,30527024309979,Book,AVAILABLE
Rowling,J. K.,unknown,1,United Kingdom,,Harry Potter and the sorcerer's stone,"New York, NY : Scholastic Inc., [2018]",2018,eng,PZ ,4,4,No,No,No,No,,Catalog Record,WorldCat Record,298916:eng,1040262750,on1040262750,on1040262750,30527024664605,Book,AVAILABLE
Ryan,Pam Muñoz,unknown,1,USA,,Echo : a novel,"New York, NY : Scholastic Press, 2015.",2015,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,2237827801:eng,881179207,ocn881179207,ocn881179207,30527024066462,Book,AVAILABLE
Ryza,Sandy,Luxembourg,0.08051371,unknown,,Advanced analytics with Spark,"Beijing ; Sebastopol, CA : O'Reilly, 2015.",2015,eng,QA ,7,7,No,No,No,No,,Catalog Record,WorldCat Record,2486987975:eng,895728664,ocn895728664,ocn895728664,30527023769421,Book,AVAILABLE
Say,Allen,Taiwan,0.26320999,Japanese-American,,"Silent days, silent dreams","New York, NY : Arthur A. Levine Books, an imprint of Scholastic Inc., 2017.",2017,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,4159358124:eng,981994585,ocn981994585,ocn981994585,30527024486850,Book,AVAILABLE
Schimmel,David,USA,0.03443834,USA,,Teachers and the law,"Boston : Pearson, [2015]",2015,eng,KF ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,7786:eng,863100756,ocn863100756,ocn863100756,30527024663672,Book,ON_LOAN
Seeds,Michael A.,unknown,1,USA,,Stars and galaxies.,"Australia : Brooks/Cole, 2015.",2015,eng,QB ,2,2,No,No,No,No,,Catalog Record,WorldCat Record,5939729:eng,898154511,ocn898154511,ocn898154511,30527024122554,Book,AVAILABLE
Selznick,Brian,USA,0.16231016,USA,,Ba,"New York : Scholastic Press, 2018.",2018,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,4741505928:eng,988001255,ocn988001255,ocn988001255,30527024681518,Book,AVAILABLE
Selznick,Brian,USA,0.16231016,USA,,The Marvels,"New York : Scholastic Press, 2015.",2015,eng,PZ ,3,3,No,No,No,No,,Catalog Record,WorldCat Record,2236046699:eng,897016494,ocn897016494,ocn897016494,30527024065852,Book,ON_LOAN
Shimura,Takako,Japan,1,Japan,,Sweet Blue Flowers,"San Francisco, CA : Viz Media, [2017-2018]",2017,eng,PN ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,8914035624:eng,962006020,ocn962006020,ocn962006020,30527024294718,Book,AVAILABLE
Singh,Lilly,Kenya,0.0844879,Canada,,How to be a bawse : a guide to conquering life,"New York : Ballantine Books, [2017]",2017,eng,CT ,7,7,No,No,No,No,,Catalog Record,WorldCat Record,3690257635:eng,953805575,ocn953805575,ocn953805575,30527024007060,Book,AVAILABLE
Spotswood,Jessica,Germany,0.03611486,USA,,Toil & trouble : 15 tales of women & witchcraft,"Toronto, Ontario, Canada : Harlequin Teen, [2018]",2018,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,5321895441:eng,1043775073,on1043775073,on1043775073,30527024361830,Book,AVAILABLE
Steves,Rick,Netherlands,0.1868951,USA,,Travel as a political act,"Berkeley, CA : Avalon Travel, Hachette Book Group, [2018]",2018,eng,G  ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,3901794456:eng,989966029,ocn989966029,ocn989966029,30527024295905,Book,ON_LOAN
Tan,Shaun,New Zealand,0.24752068,Australia,,The singing bones : inspired,"New York, NY : Arthur A. Levine Books, an imprint of Scholastic Inc., 2016.",2016,eng,PZ ,2,2,No,No,No,No,,Catalog Record,WorldCat Record,2902307932:eng,946142403,ocn946142403,ocn946142403,30527024019321,Book,AVAILABLE
Telgemeier,Raina,Indonesia,0.56850282,USA,,Ghosts,"New York, NY : Graphix, an imprint of Scholastic, 2016.",2016,eng,PZ ,1,1,No,No,No,No,,Catalog Record,WorldCat Record,2883085262:eng,934885388,ocn934885388,ocn934885388,30527024019305,Book,AVAILABLE
Völter,Helmut,Austria,0.70178909,Germany,,The movement of clouds around Mt. Fuji,"Leipzig : Spector Books, c2016.",2016,eng,QC ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,2247583714:eng,959226434,ocn959226434,ocn959226434,30527024308872,Book,AVAILABLE
Watson,Stephanie,Côte d'Ivoire,0.06264373,USA,,Best friends in the universe,"New York, NY : Scholastic Press, 2018.",2018,eng,PS ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,4566574250:eng,1008774210,on1008774210,on1008774210,30527024353225,Book,AVAILABLE
Wickham,Hadley,South Africa,1,New Zeland,,"R for data science : import, tidy, transform, visualize, and model data","Sebastopol, CA : O'Reilly Media, [2016]",2016,eng,QA ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,2789424952:eng,968213225,ocn968213225,ocn968213225,30527024315331,Book,AVAILABLE
Wilke,Daria,Poland,0.31647413,Russia,,Playing a part,"New York, New York : Arthur A. Levine Books, an imprint of Scholastic Inc., [2015]",2015,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,2064876972:eng,880672152,ocn880672152,ocn880672152,30527024154383,Book,AVAILABLE
Wingate,Lisa,Germany,0.06935489,USA,,Before we were yours : a novel,"New York : Ballantine Books, [2017]",2017,eng,PS ,5,5,No,No,No,No,,Catalog Record,WorldCat Record,4089180329:eng,958413467,ocn958413467,ocn958413467,30527024214831,Book,AVAILABLE
Yang,Kelly,Taiwan,0.05728403,USA,Hong Kong,Front desk,"New York : Arthur A. Levine Books/Scholastic Inc., 2018.",2018,eng,PZ ,0,0,No,No,No,No,,Catalog Record,WorldCat Record,4483263736:eng,1002821384,on1002821384,on1002821384,30527024309748,Book,AVAILABLE